testype	name1	name2	ceiling1	floor1	ceiling2	floor2	meandate1	meandate2	acc1	acc2	alienacc1	alienacc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1
crossBA	SubjMan-woman-Not-Shortstories_randomB	Shortstories-Not-SubjMan-woman_randomA					1976.655	1986.34	0.76	0.715	0.32	0.435	-0.382859498669	-0.29083435555	-0.474884641788	0.36	0.28	0.44
self2	Shortstories-Not-SubjMan-woman_randomA	Shortstories-Not-SubjMan-woman_randomB					1986.34	1986.37	0.715	0.685	0.83	0.79	0.762043317014	0.691852060865	0.832234573162	-0.11	-0.105	-0.115
crossAB	SubjMan-woman-Not-Bildungsroman_randomA	Bildungsroman-Not-SubjMan-woman_randomB					1976.105	1977.85353535	0.725	0.727272727273	0.6	0.530303030303	0.305467483524	0.318513386671	0.292421580378	0.160984848485	0.19696969697	0.125
self1	SubjMan-woman-Not-Bildungsroman_randomA	SubjMan-woman-Not-Bildungsroman_randomB					1976.105	1976.075	0.725	0.815	0.825	0.84	0.945286983141	0.981931564201	0.908642402082	-0.0625	-0.025	-0.1
crossBA	SubjMan-woman-Not-Bildungsroman_randomB	Bildungsroman-Not-SubjMan-woman_randomA					1976.075	1977.87373737	0.815	0.671717171717	0.56	0.530303030303	0.2078909211	0.19803723067	0.21774461153	0.198207070707	0.141414141414	0.255
self2	Bildungsroman-Not-SubjMan-woman_randomA	Bildungsroman-Not-SubjMan-woman_randomB					1977.87373737	1977.85353535	0.671717171717	0.727272727273	0.813131313131	0.792929292929	0.708933512925	0.722204355895	0.695662669955	-0.103535353535	-0.0656565656566	-0.141414141414
crossAB	SubjMan-woman-Not-Love_randomA	Love-Not-SubjMan-woman_randomB					1977.76041667	1982.91666667	0.739583333333	0.677083333333	0.661458333333	0.661458333333	0.83413859508	0.831333098337	0.836944091823	0.046875	0.015625	0.078125
self1	SubjMan-woman-Not-Love_randomA	SubjMan-woman-Not-Love_randomB					1977.76041667	1977.71875	0.739583333333	0.729166666667	0.869791666667	0.796875	1.0591914708	0.997786066824	1.12059687477	-0.0989583333333	-0.0677083333333	-0.130208333333
crossBA	SubjMan-woman-Not-Love_randomB	Love-Not-SubjMan-woman_randomA					1977.71875	1983.12371134	0.729166666667	0.731958762887	0.635416666667	0.680412371134	0.571763674883	0.654916035153	0.488611314614	0.0726481958763	0.0515463917526	0.09375
self2	Love-Not-SubjMan-woman_randomA	Love-Not-SubjMan-woman_randomB					1983.12371134	1982.91666667	0.731958762887	0.677083333333	0.783505154639	0.802083333333	0.794173162382	0.64922080911	0.939125515654	-0.0882731958763	-0.125	-0.0515463917526
crossAB	SubjMan-woman_randomA	SubjHorror_randomB					1976.62	1976.405	0.755	0.91	0.48	0.44	-0.333542143558	-0.38698569765	-0.280098589466	0.3725	0.47	0.275
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	SubjHorror_randomA					1976.62	1976.405	0.785	0.91	0.495	0.41	-0.29296950645	-0.456453948991	-0.129485063908	0.395	0.5	0.29
self2	SubjHorror_randomA	SubjHorror_randomB					1976.405	1976.405	0.91	0.91	0.9	0.935	1.59976555578	1.62261474917	1.57691636238	-0.0075	-0.025	0.01
crossAB	SubjMan-woman_randomA	War_randomB					1976.62	1970.515	0.755	0.85	0.45	0.375	-0.506069662362	-0.54215152803	-0.469987796694	0.39	0.475	0.305
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	War_randomA					1976.62	1970.625	0.785	0.815	0.435	0.41	-0.410965464803	-0.385512531136	-0.436418398471	0.3775	0.405	0.35
self2	War_randomA	War_randomB					1970.625	1970.515	0.815	0.85	0.9	0.94	1.2261624368	1.2335920599	1.21873281369	-0.0875	-0.09	-0.085
crossAB	SubjMan-woman_randomA	Mystery_randomB					1976.62	1981.17	0.755	0.835	0.46	0.41	-0.0865037446402	-0.173534002492	0.000526513211482	0.36	0.425	0.295
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	Mystery_randomA					1976.62	1981.645	0.785	0.82	0.505	0.47	0.087270754353	0.0809564182862	0.0935850904199	0.315	0.35	0.28
self2	Mystery_randomA	Mystery_randomB					1981.645	1981.17	0.82	0.835	0.89	0.885	1.28390540267	1.3766992943	1.19111151105	-0.06	-0.05	-0.07
crossAB	SubjMan-woman-Not-Novel_randomA	Novel-Not-SubjMan-woman_randomB					1976.585	1981.45	0.755	0.54	0.41	0.46	-0.143630322191	-0.12771151004	-0.159549134343	0.2125	0.08	0.345
self1	SubjMan-woman-Not-Novel_randomA	SubjMan-woman-Not-Novel_randomB					1976.585	1976.425	0.755	0.735	0.82	0.845	1.01299071696	0.990870924	1.03511050992	-0.0875	-0.11	-0.065
crossBA	SubjMan-woman-Not-Novel_randomB	Novel-Not-SubjMan-woman_randomA					1976.425	1981.545	0.735	0.605	0.43	0.505	-0.222516015892	-0.128013399704	-0.31701863208	0.2025	0.1	0.305
self2	Novel-Not-SubjMan-woman_randomA	Novel-Not-SubjMan-woman_randomB					1981.545	1981.45	0.605	0.54	0.775	0.775	0.320492840225	0.236358011162	0.404627669289	-0.2025	-0.235	-0.17
crossAB	SubjMan-woman_randomA	Psychological_randomB					1976.62	1996.46	0.755	0.73	0.625	0.58	0.375195074417	0.340070898428	0.410319250406	0.14	0.15	0.13
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	Psychological_randomA					1976.62	1996.435	0.785	0.725	0.645	0.575	0.453646888875	0.414533590286	0.492760187464	0.145	0.15	0.14
self2	Psychological_randomA	Psychological_randomB					1996.435	1996.46	0.725	0.73	0.805	0.82	0.704504438063	0.638968936862	0.770039939265	-0.085	-0.09	-0.08
crossAB	SubjMan-woman_randomA	SubjHumor_randomB					1976.62	1924.1	0.755	0.945	0.49	0.425	-0.17429985901	-0.247279399857	-0.101320318163	0.3925	0.52	0.265
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	SubjHumor_randomA					1976.62	1924.88	0.785	0.93	0.495	0.425	-0.0449264180354	-0.121412098156	0.0315592620857	0.3975	0.505	0.29
self2	SubjHumor_randomA	SubjHumor_randomB					1924.88	1924.1	0.93	0.945	0.91	0.935	1.65905798076	1.67771435905	1.64040160248	0.015	0.01	0.02
crossAB	SubjMan-woman-Not-SubjFairytales_randomA	SubjFairytales-Not-SubjMan-woman_randomB					1975.335	1925.83333333	0.76	0.954545454545	0.485	0.414141414141	-0.370650478383	-0.427065196089	-0.314235760678	0.407702020202	0.540404040404	0.275
self1	SubjMan-woman-Not-SubjFairytales_randomA	SubjMan-woman-Not-SubjFairytales_randomB					1975.335	1974.89	0.76	0.785	0.855	0.88	1.01684051228	1.04411918547	0.989561839094	-0.095	-0.095	-0.095
crossBA	SubjMan-woman-Not-SubjFairytales_randomB	SubjFairytales-Not-SubjMan-woman_randomA					1974.89	1923.94	0.785	0.95	0.465	0.39	-0.46163007877	-0.53856940732	-0.38469075022	0.44	0.56	0.32
self2	SubjFairytales-Not-SubjMan-woman_randomA	SubjFairytales-Not-SubjMan-woman_randomB					1923.94	1925.83333333	0.95	0.954545454545	0.96	0.959595959596	1.68744834816	1.52809539414	1.84680130218	-0.00752525252525	-0.0050505050505	-0.01
crossAB	SubjMan-woman_randomA	SubjShortstoriesAmerican_randomB					1976.62	1968.775	0.755	0.805	0.485	0.42	-0.0933686096044	-0.0660374767253	-0.120699742484	0.3275	0.385	0.27
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	SubjShortstoriesAmerican_randomA					1976.62	1968.11	0.785	0.78	0.445	0.465	-0.0614356515674	0.0183205073907	-0.141191810526	0.3275	0.315	0.34
self2	SubjShortstoriesAmerican_randomA	SubjShortstoriesAmerican_randomB					1968.11	1968.775	0.78	0.805	0.805	0.775	0.914862731954	1.05414488083	0.775580583077	0.0025	0.03	-0.025
